State,Year,Democratic Vote,Republican Vote
PA,2000,50.6,46.43
PA,2004,50.92,48.42
PA,2008,54.49,44.17
PA,2012,52.0,46.6
PA,2016,47.46,48.18
PA,2020,50.01,48.84
RI,1972,46.81,53.0
RI,1976,55.36,44.08
RI,1980,47.67,37.2
RI,1984,48.02,51.66
RI,1988,55.64,43.93
RI,1992,47.04,29.02
RI,1996,59.71,26.82
RI,2000,60.99,31.91
RI,2004,59.42,38.67
RI,2008,62.86,35.06
RI,2012,62.7,35.2
RI,2016,54.41,38.9
RI,2020,59.39,38.61
SC,1972,27.92,70.58
SC,1976,56.17,43.13
SC,1980,48.04,49.57
SC,1984,35.57,63.55
SC,1988,37.58,61.5
SC,1992,39.88,48.02
SC,1996,43.85,49.89
SC,2000,40.9,56.84
SC,2004,40.9,57.98
SC,2008,44.9,53.87
SC,2012,44.1,54.6
SC,2016,40.67,54.94
SC,2020,43.43,55.11
SD,1972,45.52,54.15
SD,1976,48.91,50.39
SD,1980,31.69,60.53
SD,1984,36.53,63.0
SD,1988,46.51,52.85
SD,1992,37.14,40.66
SD,1996,43.03,46.49
SD,2000,37.56,60.3
SD,2004,38.44,59.91
SD,2008,44.75,53.16
SD,2012,39.9,57.9
SD,2016,31.74,61.53
SD,2020,35.61,61.77
TN,1972,29.75,67.7
TN,1976,55.94,42.94
TN,1980,48.41,48.7
TN,1984,41.57,57.84
TN,1988,41.55,57.89
TN,1992,47.08,42.43
TN,1996,48.0,45.59
TN,2000,47.28,51.15
TN,2004,42.53,56.8
TN,2008,41.83,56.9
TN,2012,39.1,59.5
TN,2016,34.72,60.72
TN,2020,37.45,60.66
TX,1972,33.24,66.2
TX,1976,51.14,47.97
TX,1980,41.42,55.28
TX,1984,36.11,63.61
TX,1988,43.35,55.95
TX,1992,37.08,40.56
TX,1996,43.83,48.76
TX,2000,37.98,59.3
TX,2004,38.22,61.09
TX,2008,43.68,55.45
TX,2012,41.4,57.2
TX,2016,43.24,52.23
TX,2020,46.48,52.06
UT,1972,26.39,67.64
UT,1976,33.65,62.44
UT,1980,20.57,72.77
UT,1984,24.68,74.5
UT,1988,32.05,66.22
UT,1992,24.65,43.36
UT,1996,33.3,54.37
UT,2000,26.34,66.83
UT,2004,26.0,71.54
UT,2008,34.41,62.58
UT,2012,24.8,72.8
UT,2016,27.46,45.54
UT,2020,37.65,58.13
VA,1972,30.12,67.84
VA,1976,47.96,49.29
VA,1980,40.31,53.03
VA,1984,37.09,62.29
VA,1988,39.23,59.74
VA,1992,40.59,44.97
VA,1996,45.15,47.1
VA,2000,44.44,52.47
VA,2004,45.48,53.68
VA,2008,52.63,46.33
VA,2012,51.2,47.3
VA,2016,49.73,44.41
VA,2020,54.11,44.0
VT,1972,36.47,62.66
VT,1976,43.14,54.34
VT,1980,38.41,44.37
VT,1984,40.81,57.92
VT,1988,47.58,51.1
VT,1992,46.11,30.42
VT,1996,53.35,31.09
VT,2000,50.63,40.7
VT,2004,58.94,38.8
VT,2008,67.46,30.45
VT,2012,66.6,31.0
VT,2016,56.68,30.27
VT,2020,66.09,30.67
WA,1972,38.64,56.92
WA,1976,46.11,50.0
WA,1980,37.32,49.66
WA,1984,42.86,55.82
WA,1988,50.05,48.46
WA,1992,43.41,31.97
WA,1996,49.84,37.3
WA,2000,50.16,44.58
WA,2004,52.82,45.64
WA,2008,57.65,40.48
WA,2012,56.2,41.3
WA,2016,52.54,36.83
WA,2020,57.97,38.77
WI,1972,43.72,53.4
WI,1976,49.5,47.83
WI,1980,43.18,47.9
WI,1984,45.02,54.19
WI,1988,51.41,47.8
WI,1992,41.13,36.78
WI,1996,48.81,38.48
WI,2000,47.83,47.61
WI,2004,49.7,49.32
WI,2008,56.22,42.31
WI,2012,52.8,45.9
WI,2016,46.45,47.22
WI,2020,49.45,48.82
WV,1972,36.39,63.61
WV,1976,58.07,41.93
WV,1980,49.81,45.3
WV,1984,44.6,55.11
WV,1988,52.2,47.46
WV,1992,48.41,35.39
WV,1996,51.51,36.76
WV,2000,45.59,51.92
WV,2004,43.2,56.06
WV,2008,42.59,55.71
WV,2012,35.5,62.3
WV,2016,26.43,68.5
WV,2020,29.69,68.62
WY,1972,30.47,69.01
WY,1976,39.81,59.3
WY,1980,27.97,62.64
WY,1984,28.24,70.51
WY,1988,38.01,60.53
WY,1992,34.1,39.7
WY,1996,36.84,49.81
WY,2000,27.7,67.76
WY,2004,29.07,68.86
WY,2008,32.54,64.78
WY,2012,27.8,68.6
WY,2016,21.88,68.17
WY,2020,26.55,69.94
